Address,Neighborhood,Lat,Lon,Value23,Value24,Tax23,Tax24
"2 Clinton Road Cape Elizabeth, ME 04107",U24,43.6035376,-70.2343794,317300,713800,7088,7577
"2 Cloutier Lane Cape Elizabeth, ME 04107",U27,43.6075825,-70.2517313,283700,1441700,6338,15584
"2 Cottage Lane Cape Elizabeth, ME 04107",U05,43.6266692,-70.2167712,455500,1193200,10176,13125
"2 Cove View Road Cape Elizabeth, ME 04107",U56,43.569831,-70.2128875,588200,1333900,13140,14398
"2 Cragmoor Cape Elizabeth, ME 04107",U02,43.6313956,-70.2215615,878600,2165400,19628,23544
"2 Crescent Road Cape Elizabeth, ME 04107",U02,43.6339074,-70.2246332,767700,1781500,17150,19597
"2 Davcarley Road Cape Elizabeth, ME 04107",U25,43.6104112,-70.2387025,220200,537300,4919,5635
"2 Davis Point Lane Cape Elizabeth, ME 04107",U18,43.5741962,-70.221361,810900,1744300,18116,19187
"2 Dean Way Cape Elizabeth, ME 04107",U18,43.5753993,-70.2201746,241100,662300,5386,7010
"2 Dearborn Drive Cape Elizabeth, ME 04107",U22,43.5960899,-70.2359713,317700,579500,7097,6375
"2 Dermot Drive Cape Elizabeth, ME 04107",U29,43.6222659,-70.241795,479400,971900,10710,10416
"2 Dipper Road Cape Elizabeth, ME 04107",R04,43.608415,-70.25737,309200,777700,6908,8555
"2 Elizabeth Road Cape Elizabeth, ME 04107",U03,43.6312142,-70.2243179,441400,951000,9861,10186
"2 Elmwood Road Cape Elizabeth, ME 04107",U03,43.6315686,-70.2259974,244600,792100,5464,8438
"2 Emerald Way Cape Elizabeth, ME 04107",U31,43.6174633,-70.2310605,403700,988400,9019,10872
"2 Erie Road Cape Elizabeth, ME 04107",U28,43.6206949,-70.2497657,226700,547900,5064,5752
"2 Evergreen Circle Cape Elizabeth, ME 04107",U35,43.5977261,-70.2375083,304100,604400,6794,6373
"2 Farm Hill Road Cape Elizabeth, ME 04107",U21,43.5953015,-70.2330416,182500,468300,4077,5151
"2 Fenway Road Cape Elizabeth, ME 04107",U44,43.5805389,-70.2344148,248600,596000,5554,6281
"2 Fernwood Lane Cape Elizabeth, ME 04107",U34,43.6327692,-70.2332989,380700,775100,8505,8251
"2 Fox Hill Road Cape Elizabeth, ME 04107",U24,43.6043732,-70.2320018,603500,840700,13482,8973
"2 Franklin Circle Cape Elizabeth, ME 04107",U49,43.6211311,-70.2407077,456700,862200,10203,9484
"2 Garden Circle Cape Elizabeth, ME 04107",U05,43.627684,-70.214046,1092700,2782700,24411,30335
"2 Gladys Road Cape Elizabeth, ME 04107",U19,43.5814188,-70.228321,196500,511100,4390,5281
"2 Glen Avenue Cape Elizabeth, ME 04107",U02,43.6330207,-70.2246869,247300,743800,5525,8182
"2 Glos Way Cape Elizabeth, ME 04107",U49,43.620679,-70.2427379,843000,1508400,18832,15910
"2 Golden Ridge Lane Cape Elizabeth, ME 04107",U17,43.5703194,-70.223571,1178400,2458000,26326,26488
"2 Gordons Lane Cape Elizabeth, ME 04107",U50,43.6182348,-70.2321177,986800,2124600,22046,22820
"2 Granite Ridge Road Cape Elizabeth, ME 04107",U50,43.619661,-70.2275531,1257400,2379800,28090,26178
"2 Great Pond Drive Cape Elizabeth, ME 04107",R06,43.5815492,-70.2327044,329400,707200,7358,7230
"2 Greenview Drive Cape Elizabeth, ME 04107",R05,43.6260582,-70.2619353,920600,1788400,20566,19122
"2 Grouse Run Drive Cape Elizabeth, ME 04107",R04,43.6121508,-70.2646086,1184800,2327800,26468,25056
"2 Grover Road Cape Elizabeth, ME 04107",U20,43.5851161,-70.2289273,440200,1013600,9834,11150
"2 Hampton Road Cape Elizabeth, ME 04107",U19,43.5817868,-70.2283969,476600,1268200,10648,13950
"2 Harrison Avenue Cape Elizabeth, ME 04107",U29,43.6201275,-70.2478711,191400,518100,4276,5409
